,Properties,frequency
6046,Oxide Growth,2
7261,Co-existing Temperature Range,2
4805,Tensile Shear Strength,2
5641,Critical Casting Thickness,2
2194,High-temperature stability,2
693,Hydride Stability,2
5335,Incubation time,2
5247,Volume Change Ratio,2
4803,High-temperature Phase Stability,2
1020,Negative magnetoresistance,2
2205,High Resistance,2
7093,Jahn-Teller distortion,2
2204,Helium Diffusion,2
1643,  +    Microstructure,2
6044, Smax,2
2202,Helium Accumulation,2
1641,Anti-softening Ability,2
4793,Oxide Stability,2
5632,Core/Shell Structure,2
4784,Dynamic Compression Strength,2
4783,Room-temperature Mechanical Properties,2
6052,DIMT,2
4795,Precipitation-strengthened,2
4797,Hardening Exponent,2
6967,Planar Faults,2
1943,Internal Nitrogen Attack,2
7092,Orbital ordering,2
1721,Ductile Failure,2
1644,BCC Formation,2
1555,Nano-crystalline,2
5334,Critical Fields,2
2207,Microstructural Uniformity,2
5252,Loop Growth Kinetics,2
5336,Desorption kinetics,2
932,Peak Areas,2
2190,BCC1,2
5129,Oxide growth characteristics,2
6043,TM,2
7325,Defect Types,2
4857,Columnar Grain Structure,2
2138,Sub-surface Depletion,2
5223,Hydrogen pressure,2
2143,Thermodynamic Performance,2
5224,Elastic Recovery Ratio,2
2144,COFs,2
7116,Pitting Propagation,2
5899,Isotropic Hardening,2
1727,Vacancy Mobility,2
7254,Stored Strain Energy,2
7321,Elevated Temperature Phase Stability,2
5894,Structural Robustness,2
5234,Compression Resistance,2
6895,Lattice stability,2
7255,Carbide Precipitation,2
5594,Amorphization Threshold,2
1637,Strengthening effect,2
5222,Heat of formation,2
835,Diffusion Energy,2
6019,Tensile experiments,2
1634,Power Dissipation Efficiency,2
5581,COF values,2
1636,Secondary phases,2
7536,Weaker Adsorption Energies,2
7537,Enhanced HER Activity,2
7119,Composite Phases,2
827,Hydrogen permeation,2
7538,Increased Electrical Conductivity,2
7332,Activity retention,2
5586,H3/E2,2
6900,Interfacial bonding strength,2
6016,Micropore Defect Volumes,2
6017,Phase Detection,2
2135,GB Strengthening,2
6018,Macroscopic Morphology,2
2154,Grain Elongation,2
5235,Scale Spallation Resistance,2
7112,Surface Hardening,2
6985,Electromagnetic,2
5341,Hydrophobic Property,2
1946,AlN,2
5339,Thermodynamic behaviour,2
5643,Kinetic Fragility,2
7101,Radial shrinkage,2
7567,Tool Life,2
7568,Surface Structure,2
6883,Palmqvist indentation toughness,2
1732,Twin Strengthening,2
5612,ODS,2
4818,Magneto-caloric Effect,2
4817,Catalytic Stability,2
6042, SM,2
7573,Self-Healing Property,2
5337,Hysteresis factor,2
6965,Plasticity Mechanisms,2
6037,Alloy Complexity,2
2158,Chlorine Resistance,2
6963,Compression-Resistance,2
2159,Dissolution Resistance,2
6962,Sliding-Wear Resistance,2
2165,Pullback Rate,2
844,Screw Dislocations,2
5238,Nano-scale Precipitates,2
6893,Deformation substructures,2
7315,Semiconductor Properties,2
6891,Critical resolved shear stress,2
7107,Thermal Softening Effect,2
6889,Pitting Behavior,2
6033,Cooling rates,2
5759,Damage Mode,2
6887,Discharging Capacity,2
928,Structural Reversibility,2
2173,High temperature applications,2
5642,Transformation Enthalpies,2
6869,Structural analysis,2
5886,Nanoparticles,2
5303,Crack propagation,2
7639,Specific Total Loss,2
7640,Amplitude Permeability,2
7641,AC Maximum Magnetic Flux Density,2
1688,Dislocation Analysis,2
5276,Oxide Layer Thickness,2
1687,Mechanical Strengths,2
5733,VCTP,2
5277,Oxide Growth Rates,2
7062,Wear Depth,2
954,Recrystallized Grains,2
5732,GCTP,2
5701,Cycling stability,2
5300,Critical Nucleation Stress,2
5730,Load-bearing Capacity,2
7643,Threshold Energy,2
4685,Anti-bacterial properties,2
1933,Erosion-Corrosion,2
5693,Maximum Magnetic Moment,2
7638,AC Coercivity,2
5304,Microstructure Control,2
7296,Brittle Fracture Mechanism,2
1038,Randomness,2
4706,T_C,2
7279,Plastic Abrasion,2
7631,Chemical Compositions,2
4704,Modulus properties,2
7280,Loss of Adhesion Strength,2
5734,Mass-to-Energy Density,2
2252,Porosities,2
5305,Hot Crack Density,2
5690,Compressive fracture strain,2
5878,Dislocation Evolutions,2
1934,Mass loss,2
7637,AC Remanence,2
6973,Gamma Ray Absorption,2
7054,Contact Modulus,2
5278,Inner Oxide Formation,2
5873,Barocaloric,2
5297,Magnetic Environment,2
4671,HER Characteristics,2
5287,Removal cross-section,2
672,Ultrasonic Cavitation Erosion Resistance,2
6094,Nanoscale Pores,2
5288,Build-up factors,2
4667,Ion Valence States,2
5727,Sluggish,2
1672,Paramagnetic Behaviour,2
1671,Antiferromagnetic Coupling,2
5289,Stopping power,2
7284,Mo-rich Phases,2
5294,Sommerfeld coefficient,2
7047,Cold-workability,2
5724,Dislocation energy,2
5290,Projected range,2
7050,Electron Transfer Resistance,2
7044,Uniform,2
7644,Collision Cross Section,2
2265,Spontaneous Magnetic Moment,2
2261,Second Order Transition,2
7646,Oxidation Rate Constants,2
6092,Hydrophilic Behavior,2
6093,Wetting behavior,2
7283,Impact Energy Absorption,2
4677,AC applied field,2
5284,Attenuation coefficients,2
5709,d-electrons,2
4675,Field,2
5710,Superparamagnetic clusters,2
5711,Nitriding Layer Thickness,2
5285,Mean free path,2
7650,Multi-Stage Strain-Hardening Behavior,2
7053,Ms Temperature,2
5286,Effective atomic number,2
6089,Dendrite Morphology,2
1666,Stretch Formability,2
4770,Antimicrobial Properties,2
5316,Adiabatic Shear Susceptibility,2
7042,Transformation Range,2
7272,Electric Double-Layer Effect,2
6969,Desorption Processes,2
7273,Interfacial Tension,2
4759,Magnetic domains,2
6867,Relaxor,2
2221,Strength-to-weight ratio,2
691,Activation Property,2
6088,Morphological Variation,2
5662,Thermoelectric Figure of Merit,2
7074,Micropores,2
1429,Critical Stresses,2
4751,Alleviates particle crushing,2
4750,Decrease in capacity,2
4749,Charge/Discharge Capacity,2
4748,Initial Capacity,2
4762,Fatigue strength,2
7271,Surface Oxide Layer,2
5654,Al2O3 Precipitation,2
7126,TCP Phases,2
7040,Thermomagnetic Responses,2
7598,Polarisation Resistance,2
6968,Multi-phase Structures,2
5645,Strain Gauge Sensitivity,2
7041,Microstructural Morphologies,2
7084,Cu-rich FCC Phase,2
2216,HDI stress,2
6064,Tribocorrosion Wear Behaviour,2
853,Fuzz Growth Rate,2
5650,Interface Width,2
5651,Fractal Characteristics,2
5652,Multifractal Character,2
7270,Electro-wetting,2
5322,Temperature-dependent,2
5258,Dynamic Mechanical Relaxation,2
5664,Oxygen Diffusion,2
7073,Work-hardenability,2
1540,Chronoamperometry,2
4727,FA Selectivity,2
7070,Pseudoplastic,2
7069,Pseudoelastic,2
1695,Micromechanical Behavior,2
1694,Hydrogen Trapping,2
5681,High-Temperature Tensile Properties,2
6084,Nano-Indentation,2
2246,Defect Morphology,2
4717,Dislocation Slip-Mode,2
7277,Cohesively-adhesive Character,2
7278,Local Flaking,2
7625,Helium Behavior,2
6087,HCP Transformation,2
7065,Capillary Force,2
4711,Precipitation/Stacking Fault Strengthening,2
4710,Dislocation-Mediated Plasticity,2
4726,FF Conversion,2
6078,Relative Volume Change,2
6072,Structural transition,2
6077,Barocaloric Effect,2
856,High solid solubility,2
2225,Transformation-induced Plasticity,2
1705,USS,2
1704,SYS,2
6073,Curie transition,2
1702,Passive Layer Stability,2
4739,Coulomb Forces,2
4738,Solid Electrolyte Interface,2
7276,Alloying Ability,2
5671,Plastic Incompatibility,2
4735,Storage Performance,2
2226,Mechanical Resiliency,2
2227,Grain Growth Insensitivity,2
5672,Synergistic Strengthening,2
2230,Oxygen Defects,2
910,Oxide Scale Thickness,2
6906,Single face-centered cubic structure,2
5772,Flow stress,2
2039,Hydroxide Formation,2
7445,Mass Densities,2
6940,Nano-scratch,2
5047,Refrigeration temperature range,2
1834,Fragmentation,2
7371,  Precipitates,2
5045,Pre-exponential Factor,2
7188,Shear Fracture Mode,2
7446,Spin Glass Behavior,2
5977,Coordination,2
5398,TE performance,2
7447,Chemical Distribution,2
794,Force,2
5040,Lattice contraction,2
5839,OER Overpotential,2
5039,Magnetic Phase,2
2040,GOR Performance,2
7444,Ground State Energies,2
7189,Failure Modes,2
7443,Defect properties,2
1847,Yield point,2
5967,Electronic Entropy Contribution,2
5968,Martensitic Start Temperature,2
5969,Seebeck Effect,2
5457,Ductile Wear,2
1853,MDER,2
1852,CE resistance,2
6939,Nano-Scratch Resistance,2
1460,Open volumes,2
5054,Slip Resistance,2
5053,Specific heats,2
5052,SRO parameters,2
5051,Phase-specific hardness,2
7373,Lattice Strain Energy,2
1849,SRS,2
1848,Ultimate load,2
5156,Semiconductor Behavior,2
1604,Anharmonic Phonon Properties,2
7184,Nano-precipitation,2
5386,Eutectic reaction,2
6943,Hydrogen-induced Hardening,2
7360,He bubbles,2
5015,H-Ni Bonding,2
1619,Ecorr,2
6923,Shear Band Density,2
5012,Compositional Changes,2
5486,Grain Strengthening,2
5487,Morphological evaluation,2
5488,Grain reduction,2
2058,Low Grain-Boundary Strengthening,2
5489,Tensile behavior,2
5920,High/Low-Temperature Behavior,2
7463,Electromagnetic absorption,2
5490,Wear analysis,2
5005,Friction Factor,2
1457,Ostwald Ripening,2
1458,Vacancy-type defects,2
7449,N Absorption,2
1609,Deformation Defects,2
7450,Si Segregation,2
7451,Breaking strain,2
5391,Grain Boundary Relaxation,2
7183,bcc Phase,2
5158,Epit,2
7369,Nano-twin,2
1501,Oxide Scale Adherence,2
7452,Output Performance,2
1006,Average particle size,2
1608,Penetration,2
7457,Eutectic-like Microstructure,2
5021,Crystallographic Symmetry,2
5388, f,2
5478,Spin Wave Stiffness,2
5479,Interfacial Shear Strength,2
1495,Dielectric properties,2
7192,Heat of Formation,2
5819,Catalytic Property,2
1997,Twinning Properties,2
1881,Elastic Energy,2
1586,Microstructural Characterization,2
1996,Viscous Dislocation Glide,2
6995,Cavity Growth Tolerance,2
1590,Free Energy Barrier,2
5101,Austenite Curie Temperature,2
7411,Local Lattice Distortions,2
1485,Isotropic Elasticity,2
1993,Grain Refining,2
5098,Crystallographic Orientation,2
5436,Cryogenic Applications,2
806,Indentation hardness,2
7000,Plastic Failure Strains,2
798,Sliding Distance,2
797,Compression Depth,2
5404,Dynamically Recrystallized Grains,2
5946,Dynamical Behavior,2
5439,Volumetric fraction,2
805,Strain Concentration,2
7219,Nanoscale structure,2
5939,Onset Potentials,2
1998,Solute Effects,2
7215,SO-MPT Characteristics,2
7392,Yield Behavior,2
1582,Thermal analyses,2
5122,Compressive Elastic Modulus,2
5417,Drag Coefficient,2
1577,Fatigue Cracks,2
7396,Fatigue Endurance Limit,2
1897,HE Susceptibility Index,2
5405,Nano Carbides,2
5132,Comprehensive Performance,2
5943,Anti-Poisoning Ability,2
5944,Anti-Dissolution Capacity,2
1869,Nano-scale hardness,2
5440,Electrochemical Resistance,2
892,Thermomagnetic,2
1864,Dislocation Loop Growth,2
1469,Removal Cross-Section,2
1468,Neutron Dose Rate,2
5402,Bonding properties,2
5401,Twin boundaries,2
7377,Loading Rate Dependence,2
1494,Refractive indices,2
5450,Crack Bridging,2
889,Anti-Wear Performance,2
891,Communal Entropy,2
1467,Effective Atomic Number,2
1574,Plastic Strain Ratio,2
1466,Mass Attenuation Coefficient,2
5964,Self-Lubrication Property,2
5965,Charge Carrier Density,2
5966,Charge Carrier Mobility,2
1863,Bubble Evolution,2
7429,Melting Range,2
6929,Ni Increase,2
7380,Paramagnetic phases,2
7200,Electrochemical Behaviors,2
5954,Adhesion Bond Strength,2
5142,Fracture-Resistance,2
7421,Working Hardening Capacity,2
6928,Fe Increase,2
807,Scrap hardness,2
6927,Mn Depletion,2
5957,Hyper-eutectic,2
5444,Corrosion Property,2
5083,Ultimate Shear Stress,2
5081,Cooling Capacity Coefficient,2
5080,Magnetic Hysteresis Losses,2
5079,Damping behavior,2
7426,Creep Stress Exponent,2
2027,Decolorization,2
5003,Pitting-corrosion resistance,2
5174,Anticorrosion Properties,2
5858,Half-Wave Potential,2
6911,Total Elongation to Rupture,2
5539,Initial susceptibility,2
5200,Irradiation hardening resistance,2
5848,Electron Transport,2
7345,Electricity-H2 conversion efficiency,2
4915,Anti-Sticking Properties,2
4914,Short-range Chemical Order,2
1908,Strength Variation,2
1909,Void Annihilation,2
5000, -Ti Solid Solution,2
7344,Faradaic efficiency,2
6909,Maximum Flux Density,2
5851,FAOR Activity,2
6908,Face-Centered Cubic,2
5360,Irradiation,2
5549,Compressive load,2
7343,Anti-poison,2
7512,Equilibrium Temperature,2
7511,A M Transformations,2
4922,fcc Phase,2
5368,Morphological features,2
7505,Twin Boundary Fraction,2
5372,Gamma-ray shielding properties,2
5527,Homogeneous Distribution,2
5998,Ionic radius difference,2
2097,Metallurgical bonding,2
6913,Compositional Uniformity,2
2100,Structural Defects,2
5528,Concentration Variations,2
5530,Distorted Lattice,2
5369,Radiation shielding properties,2
7013,Tribocorrosion resistances,2
7017,CE-C Resistance,2
2102,Dislocation structures,2
1777,Kinetic,2
6912,Dissolution Corrosion,2
5550,LCF Resistance,2
7148,Hydrogen Sensitivity,2
2108,Martensitic Phase Transition,2
7338,H adsorption energy,2
5777,Reactive Energy-Releasing Properties,2
5776,Penetration Performance,2
7248,LME Sensitivity,2
2123,Cocktail,2
7530,Mean sliding friction coefficient,2
5568,bcc_B2,2
1526,Open-Circuit Voltage,2
7336,Energy barrier,2
7335,Doping P,2
6901,Interfacial stability,2
2124,High-entropy effect,2
6013,Impact Energy Release,2
7535,OER Kinetics,2
7130,LCF Lifetime,2
7129,Oxide Scale Spallation,2
2122,Slow diffusion,2
2120,UV-to-NIR Absorbance Enhancement,2
7022,Gamma-ray Absorption,2
1894,Ultrafine Grains,2
7023,Attenuation,2
7243,Grain Size Stability,2
7244,Nanocrystals,2
2113,Grain Boundary B Content,2
5852,ORR MA,2
5558,Frictional Force,2
7142,Solid solution phases,2
2115,Ultrabroadband Absorber,2
1760,Proof Strength,2
5854,Undegraded,2
5779,Metallographic hardness,2
2117,Lower Melting Temperature,2
2118,High Electron-Phonon Coupling Constant,2
5778,Self-Sharpening Behavior,2
2119,Ultrabroadband Absorbers,2
5997,Atomic mass difference,2
7503,Contact Protection,2
5797,Dual phase,2
5496,Round,2
4981,Crystalline Boundary Structures,2
4980,Line Defects,2
5985,He Ion Concentration,2
5497,Regular,2
1621,Resistance Value,2
1978,Sintering Temperature,2
5986,Twin Formation,2
4976,Orthorhombicity,2
6918,Band gaps,2
1622,Stable Passive State,2
5293,Precipitate,2
5989,Volumetric capacitance,2
7231,Deformation Structure,2
5381,High melting points,2
5845,Hydrogen Production Rate,2
7482,Poisson's ratios,2
5495,Layered,2
7491,Energy gap,2
772,Ultrfine Grains,2
5979,Chemical constituents,2
1451,Strain-Hardening Rates,2
4997,Friction properties,2
2069,Wear Friction,2
6920,Mixing entropies,2
4992,Tensile Fracture Elongation,2
7473,Bake Hardening,2
5491,Tribology behavior,2
7474,Lattice parameter changes,2
5177,Redox,2
7475,Carbon segregation,2
7476,Refrigeration,2
5493,Grain Boundary Distribution,2
6919,Bulk moduli,2
776,Free Enthalpy,2
4968,Texture Components,2
5506,Moment,2
5523,Creep Rupture Life,2
4951,Shear Performance,2
7235,Ligaments,2
4948,Grain boundary properties,2
5516,Surface Mechanical Properties,2
4947,Molar ratio,2
5800,Thermo-electric response,2
4946,Micro morphology,2
5188,Pressure,2
7236,hcp,2
5519,Melting Process,2
2087,Heat Upgradation,2
2088,Desorption Plateau Pressure,2
5193,Hexagonal Close Packed Phase,2
7167,Structural Stiffness,2
1445,Modulus values,2
5799,Room temperature properties,2
1004,HCI,2
1905,Diameter,2
7492,Magnetic characteristic,2
6915,Deposition Rate,2
7493,Transport properties,2
4964,Recrystallization Kinetics,2
1005,MS,2
6916,Compositional Distribution,2
7496,Ferromagnetic interaction,2
5508,Contraction,2
7497,Magnetic phase diagrams,2
1802,Forest Hardening,2
1799,Latent Hardening Effect,2
4956,Size-dependence,2
7355,IM Phases,2
5917,Macro-mechanical Properties,2
4955,Source Strength,2
5802,Thermoelectric Potential,2
5801,Photo-voltaic energy conversion,2
7348,Structural Heterogeneities,2
1606,Surface Strain,2
7653,Porosity Ratio,2
8187,Thermal Metastability,2
1124,Modifiability,2
3737,Work Strengthening,2
3736,Impedance Modulus,2
3734,Electron Density of States,2
3732,Creep Tendency,2
6392,Lubricating Phase,2
6393,Thermal Decomposition,2
6394,Carbides Precipitation,2
8161,Thermal Cycling Stability,2
2804,HCP Substructures,2
6397,Sintering,2
6398,Grain Boundary Wetting,2
6399,High-Temperature Disordering,2
1129,Strength-to-price Ratio,2
3714,Temperature Sensitivity,2
3713,Hydrogen Sorption,2
3712,Wear weight loss,2
8175,Zener Pinning Pressure,2
3706,Vibrational Entropies,2
1260,Dischargeability,2
8178,Devitrification,2
8179,Microstructural Instability,2
1259,C/A Ratio,2
3695,Peak Power Density,2
3690,Transformation Interval,2
6390,Creep Strain Rates,2
6389,Strength Properties,2
6388,Critical Tensile Strain,2
3769,Coefficients of friction,2
3787,Microwave Absorption Performance,2
8120,Conductivity Loss,2
8121,Dipole Polarization,2
8122,Electromagnetic Wave Absorption Properties,2
255,Helmholtz Energy,2
8126,High Ms,2
6689,EM Loss,2
6688,Magnetic loss,2
3775,He Bubble Density,2
3771,Work of Fracture,2
3770,Strength-to-Ductility,2
8132,Film Flaking,2
6387,Critical Shear Strain,2
3767,Elastic Property,2
8133,Delamination,2
8136,Hetero-deformation Induced Hardening,2
8137,Directional Flow Behavior,2
6684,Resonance Frequency,2
6682,Low Anisotropy,2
3755,Donor Density,2
8144,Solid Lubricant Films,2
8145,Dry friction property,2
3752,H,2
8146,DC bias,2
1138,High Temperature Exposure,2
8188,Composition Decomposition,2
8251,Nano-crystals,2
3686,Thermal Neutron Cross-section,2
6661,Magneto-caloric,2
6431,Disordered Metallic Behavior,2
6659,Dynamical Stability,2
8221,Type-A Serration Behavior,2
6658,Mechanical behavior,2
1139,Cyclic Loading,2
3627,Lattice Energy,2
6438,Mismatch Entropy,2
6655,Covalent Bond,2
3620,Cyclic Plasticity,2
3617,Oxidization Resistance,2
6650,Pyramidal Slip,2
1141,Excess Free Volume,2
6450,Grain Boundary Character,2
6451,Stress Contribution,2
8242,He Management Ability,2
8244,Local chemical order,2
3605,Total pore volume,2
3604,Pore size distribution,2
3603,Residual Surface Stress,2
8246,Bone-bonding Capabilities,2
8247,Intrinsic Lattice Strength,2
2861,Anti-wear Effect,2
6453,nanoprecipitates,2
8249,Machining Mechanism,2
8212,Liquid Metal Embrittlement,2
3647,Ionic strength,2
3648,Internal energy,2
6418,Electromagnetic Resistance,2
3685,Delayed Hydride Cracking,2
8189,Dislocation Glide Resistance,2
8190,Slip Systems,2
8191,Elastic Recoverability,2
8192,Specific Modulus,2
6416,Strength Heterogeneity,2
3678,Viscous Glide,2
3676,Atomic diffusion,2
3674,Strength-Toughness Combination,2
2836,Bond Angle,2
6417,Compositional Heterogeneity,2
2837,Anion Height,2
3649,Helmholtz free energy,2
2838,Vibrational,2
2839,Vibrational Properties,2
8201,B2 bcc phase,2
2841,Load-bearing Capabilities,2
8202,Hot-cracking Resistance,2
1254,c/a Ratio,2
1252,Bulk Diffusion Coefficients,2
6666,Integrity,2
8207,Rupture Strength,2
8208,Densification Mechanism,2
6665,Tensile Behavior,2
3788,Tensile Deformation,2
6373,FCC Crystal Structure,2
8118,Electromagnetic Wave Absorbing Properties,2
3793,Disordered Region,2
1286,Grain Shape,2
3952,Incipient Plastic Strength,2
8038,Atomic radius difference,2
8039,Atomic number difference,2
8040,Melting temperature difference,2
8041,Valence electron difference,2
8042,Valence Electron,2
6720,Magnetic Exchange,2
3945,Adhesion Properties,2
3942,Strength Coefficient,2
3941,Intragrainular Voids,2
3940,Intergranular Voids,2
3939,Hexagonal Close-Packed Phases,2
2689,Fatigue Behavior,2
6326,Electronic work function,2
3935,Twin Boundary Migration,2
3933,Impact Fatigue Performance,2
3929,C15_laves,2
3928,Ni3Ti_D024,2
3927,SIGMA,2
3926,C14_laves,2
3925,BCC_B2,2
3924,FCC_L12,2
6329,Sintering behaviour,2
3920,Corrosion-Resistance,2
6723,Energy Change,2
8031,Density-of-State Effective Mass,2
3965,Solid-solution hardening,2
8012,Micro-pillar Compression,2
8004,Ordered phase,2
4012,Anomalous Enrichment,2
4011,Fuzz Growth,2
4010,Sputtering,2
6299,VC10,2
6300,VC100,2
402,Volumetric thermal expansion coefficient,2
4002,Degradation Layer,2
3997,Adhesion quality,2
6304,Valence-electron concentration,2
2660,Frequency,2
3989,Cohesion Strength,2
3968,Catalytic efficiency,2
3988,Load Bearing Capacity,2
6732,Remaining Magnetisation,2
3986,Segregation Ratio,2
6731,Decolourisation efficiency,2
6730,Morphological Stability,2
3983,Welding Ability,2
8021,Ultimate Plasticity Strain,2
1291,Structural transition temperature,2
372,Nanocrystalline Structure,2
1290,Magnetostructural transition,2
2677,Surface Topographies,2
2699,Grain-Boundary Cohesion,2
2702,Sensitivity to Grain Size,2
6333,Cryogenic Properties,2
8096,Impurity Concentrations,2
3857,Mechanical characteristics,2
3856,Transformation enthalpy,2
3855,Phase transformation temperatures,2
3854,Stress Induction,2
3853,Rupture Deformation,2
310,Thermo-physical properties,2
295,Wear Property,2
3842,Stable Microstructure,2
6357,Sintering Resistance,2
6358,Acid Resistance,2
3833,Paramagnetic Phase,2
8098,Interdendrite,2
2736,Reusability,2
8099,Slurry Erosion Wear,2
3814,Magneto-structural Transition,2
265,Low Friction Coefficient,2
2770,HRC,2
2771,Inter-granular Penetration,2
6694,Tribolayers,2
257,Electronic Total Energy,2
3806,Hydrogen Desorption Kinetics,2
256,Vibrational Lattice Free Energy,2
8113,Photocatalytic activity,2
6372,Grain Growth Rates,2
3858,Low Temperature Toughness,2
6703,He Bubbles,2
7654,Crystal size,2
3882,Catalytic functionality,2
1104,Strength-Ductility Trade-off,2
2706,Crystal Orientation,2
3907,Hydrogen trapping,2
2708,Optical Bandgap,2
2709,Electrical Conduction,2
6343,  Parameter,2
3897,Electrocatalysis,2
3895,Nanosheet Structure,2
2717,Heat Conduction,2
362,Fracture Mode Transition,2
8068,Copper Ion Release,2
6348,Thermal-Oxidative Resistance,2
6352,Diffusion Retardation,2
1273,Frenkel pairs,2
6350,Stress Wave Velocity,2
3877,Fracture mode,2
3876,Micro-void coalescence,2
8074,Interstitial Strengthening,2
3873,Orowan,2
3872,Hall-Petch,2
8075,Residual Strains,2
6704,FCC phases,2
3869,Super hardness,2
3868,CMRO,2
8250,b.c.c.,2
8252,Solid state amorphization,2
4018,Surface Strength,2
6537,Pesting,2
8376,Mechanical Strength/Density Ratio,2
6607,Corrosion Products,2
3053,Fiber Texture,2
8379,High-Temperature Hardness,2
3055,Flow,2
8381,Crack generation,2
8382,Micro-roughness,2
6526,Stable Thermal Properties,2
8385,Dissolution rate,2
8386,Oxide film composition,2
3304,Wear Weight Loss,2
1204,Complexity,2
3301,Hydrogen Concentration,2
8393,Change of entropy,2
3076,Hardness Increment,2
8394,Oxidation Resistivity,2
6533,Dynamic shear failure strain,2
3080,Hydrogen Barrier Penetration,2
3292,Toughening Mechanisms,2
3087,Soft Magnetic Property,2
3092,Critical dimension,2
3093,Supercooled liquid region,2
6599,Structural Matching,2
3096,Protective Oxides,2
1163,Mixing enthalpy change,2
6608,Coherent strength,2
8374,SFEs,2
3052,Substructured Grains,2
3021,Catalytic performance,2
3382,Recrystallized Fraction,2
8345,Shear Band Velocity,2
127,Dehydrogenation entropy,2
3004,Intergranular Penetration,2
8348,Kinetic Reordering,2
8349,Kinetic Reordering Rate,2
3006,Intermetallic Particles,2
3007,Lattice spacing,2
3008,Diffraction intensity,2
3015,Low Flow Stress,2
6511,Interfacial Bonding,2
3024,Stable Austenitic Structure,2
6609,Atomic ordering strength,2
8354,Nucleation Sites,2
3351,Born Effective Charge,2
8358,Hot-Cracking Susceptibility,2
8359,Boundary Cohesion,2
6611,Elemental composition,2
3043,Fatigue Lifetime,2
3049,Critical Strain,2
3050,Kinetic Model,2
98,Phase Evaluation,2
3334,Resonant Frequency,2
6519,COPmat,2
8402,Average Resistivity,2
1164,Mixing entropy change,2
208,Nanocomposite,2
3102,Damping Properties,2
3120,Slip band spacing,2
3228,Shrinkage,2
8428,Volume Swelling,2
3130,High Angle Grain Boundaries,2
8429,Interdiffusion Behavior,2
3135,Cycling properties,2
29,Necking Constrictions,2
3142,Laminar Structure,2
8434,Serrated-flow Stress,2
3150,Erosion-corrosion,2
6586,Crack-free,2
27,Ordered B2,2
3198,Liquid Behavior,2
8447,Austenite to Martensite Transformation,2
3187,Solvus Temperature,2
3185,Dendrite Growth Velocity,2
6577,Cold Rolling Capacity,2
3179,Hydrogen Permeation,2
8452,Structural Disorder,2
8453,Anisotropic Morphology,2
25,Co-continuous Mixture,2
1187,Synthesis,2
1185,High-temperature Entropy,2
1179,Twin-Fault Probability,2
23,Phase Inversion,2
72,Thermal Transport,2
6550,Nanotwin Nucleation,2
8422,Crack Retardation,2
3253,Ballistic Properties,2
3104,Biphasic,2
8405,Strengthening Coefficient,2
3106,  -Volume Fraction,2
8406,Cyclic Creep,2
3107,  -Dissolution Temperature,2
3266,Dislocation Characteristics,2
3265,Textures,2
3263,Thermoplastic Micro-formability,2
6539,Bond strength,2
6543,Connectivity,2
3254,Intermediate-Temperature Performance,2
3252,Shear Band Resistance,2
8421,HCP Phase Content,2
6546,Antiwear,2
1203,ORR Performance,2
3247,Poor forgeability,2
3246,Poor casting ability,2
3245,Poor machinability,2
3117,Hydrogen uptake capacity,2
3243,Pseudoelastic Recovery,2
3242,Forgeability,2
3241,Casting ability,2
3119,Dislocation cell size,2
3239,Conductivities,2
8343,Bulk Constants,2
3385,Preferred Orientations,2
6505,Interlamellar spacing,2
8339,Dislocation glide,2
3538,Fracture Initiation,2
6637,Phase transitions,2
3536,Tensile Shear Load,2
6468,Thermo-physical,2
6469,Electron-transport,2
2899,Tension Strength,2
2900,Fatigue Behaviour,2
6470,Chemical distribution,2
2902,Size-effect,2
8283,Displacement Doses,2
3520,Nanocrystalline Phase,2
6472,Structure transformation,2
3512,Secondary Hardening,2
6474,Mott's Scattering,2
6475,Charge carrier density,2
2913,Plastic Hardening Properties,2
6476,Sigma-phase Decay,2
1142,Deformation Temperature,2
169,Stable Solid Solution,2
8293,Micro-texture Features,2
3499,FCC Lattice Structure,2
3497,Cdl value,2
2916,Binding energy distribution,2
3495,OER performance,2
6479,Electron Contribution,2
8276,Grain Size Inhomogeneity,2
3543,Excess Entropy,2
3544,Lattice Vibrations,2
2882,High Internal Strain,2
3588,Tribo-corrosion Resistance,2
6454,intermetallic precipitates,2
6455,oxide,2
6456,"Ti(C,N) compound",2
3583,L12 precipitates,2
3581,Liquid phase,2
8260,Compression mechanical properties,2
2870,Cracking Behavior,2
191,Bond Length,2
2876,Fault Energy Barrier,2
2877,Dislocation Character,2
8266,Texture Formation,2
8274,Damage-tolerant,2
3564,A2,2
8267,Poor Elongation,2
8271,TiN,2
3558,Grain Boundary Characteristics,2
8272,VC,2
3556,Compressive Yield Strain,2
3552,M23C6,2
3551,L12 Phase,2
3550,Wear mass loss,2
2894,Helium Capacity,2
2895,Creep Relaxation,2
3487,Catalyst,2
3486,Plasticity Ductility,2
165,Deformation Heterogeneities,2
3408,Plateau Slope,2
6623,Energy Release,2
8325,Sliding Wear,2
8328,Anti-Irradiation Hardening,2
8329,Friction Stability,2
8330,Weight Loss Rates,2
2962,Carbonization Resistance,2
2963,Sulfidation Resistance,2
2968,Strain Tolerance,2
2980,Electrocatalyst Activity,2
144,Crystal Size,2
2987,Band structure,2
2989,Vibrational entropy,2
8323,Hardening Factors,2
2990,Vibrational Helmholtz free energy,2
2991,Phonon modes,2
